date_time,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19
2015/2/1,38,65,23,84,2,108,95,25,22,143,46,1,418,40,0,69,107,55,53,60
2015/3/1,35,85,37,80,2,61,53,20,15,229,32,2,163,49,0,68,46,33,76,25
2015/4/1,50,88,32,109,3,27,119,3,15,190,63,0,278,35,0,76,24,30,89,33
2015/5/1,66,512,70,114,2,95,194,17,13,144,18,0,12,11,2,65,10,17,129,17
2015/6/1,283,1.15,104,200,40,265,887,22,119,242,2,3,3,3,1,147,33,3,277,18
2015/7/1,690,1.217,45,288,109,906,1.642,25,423,306,0,5,5,0,15,149,356,13,347,30
2015/8/1,2.057,2.54,379,1.059,1.397,7.913,5.428,127,3.762,829,3,40,11,0,53,643,4.564,21,943,35
2015/9/1,5.828,5.51,156,3.088,2.928,11.068,6.423,214,6.129,7.956,7,192,77,1,76,368,5.882,116,2.296,228
2015/10/1,4.068,4.844,21,3.708,905,7.781,6.746,658,2.598,4.989,40,827,181,6,21,213,2.494,194,1.807,307
2015/11/1,897,833,9,1.453,115,9.643,4.35,1.081,1.002,1.705,162,1.3,280,47,3,21,1.054,315,547,141
2015/12/1,626,373,19,295,8,6.61,3.706,1.021,282,1.408,136,269,304,63,0,45,565,176,179,61
2016/1/1,94,42,53,61,12,1.322000027,412,100,93,285,24,19,1.753999949,9,1,85,770,24,52,43
2016/2/1,97,383,10,207,5,430,318,13,88,418,14,1,171,22,2,188,275,19,117,24
2016/3/1,53,165,21,123,0,81,113,4,25,281,9,5,1.08099997,26,1,82,140,4,136,107
2016/4/1,35,369,36,172,0,66,113,10,59,217,13,0,126,14,5,307,22,8,167,57
2016/5/1,60,778,26,186,21,154,206,8,44,259,4,1,22,9,15,139,30,6,233,48
2016/6/1,153,1.148000002,79,263,87,502,709,45,170,416,5,2,7,1,42,197,90,4,289,49
2016/7/1,754,2.736999989,480,1.003999949,533,1.578999996,2.095999956,124,969,345,3,1,0,0,79,687,1.136999965,17,837,42
2016/8/1,1.646999955,3.213000059,765,1.432999969,2.187999964,4.862999916,3.72300005,293,3.674999952,724,5,37,11,6,29,797,3.611000061,42,1.031999946,78
2016/9/1,1.394000053,3.244999886,644,2.092999935,3.585999966,3.953000069,3.165999889,370,4.208000183,1.819000006,18,142,19,2,58,490,3.118999958,171,1.702999949,128
2016/10/1,2.59800005,2.032000065,56,948,509,5.281000137,5.350999832,1.309999943,1.843999982,1.414999962,74,793,101,10,9,177,2.105000019,319,522,58
